expt_mix_num,test_type,rep,tin_w_wet_sample,tin_w_OD_sample,tin_tare,comments
1,PL,1,12.006,11.633,7.198,NA
1,PL,2,9.957,9.746,7.162,NA
1,PL,3,10.367,10.129,7.213,NA
2,PL,1,10.33,10.069,7.234,NA
2,PL,2,10.895,10.605,7.249,NA
2,PL,3,10.782,10.488,7.182,NA
3,PL,1,11.521,11.141,7.25,NA
3,PL,2,10.744,10.441,7.165,NA
3,PL,3,9.998,9.751,7.127,NA
4,PL,1,9.576,9.369,7.285,NA
4,PL,2,9.791,9.539,7.232,NA
4,PL,3,9.617,9.378,7.097,NA
5,PL,1,10.934,10.499,7.182,NA
5,PL,2,11.708,11.168,7.151,NA
5,PL,3,10.2,9.841,7.211,NA
6,PL,1,13.054,12.464,7.299,NA
6,PL,2,12.488,11.939,7.242,NA
6,PL,3,12.231,11.697,7.053,NA
7,PL,1,11.791,11.321,7.281,NA
7,PL,2,12.559,11.987,7.066,NA
7,PL,3,12.408,11.875,7.184,NA
8,PL,1,13.607,12.913,7.221,NA
8,PL,2,13.063,12.421,7.181,NA
8,PL,3,14.607,13.798,7.091,NA
9,PL,1,10.836,10.427,7.148,NA
9,PL,2,13.166,12.507,7.248,NA
9,PL,3,10.882,10.472,7.264,NA
10,PL,1,13.22,12.532,7.223,NA
10,PL,2,10.455,10.083,7.198,NA
10,PL,3,11.472,10.983,7.162,NA
11,PL,1,10.775,10.298,7.179,NA
11,PL,2,10.91,10.432,7.182,NA
11,PL,3,10.831,10.364,7.151,NA
11,PL,4,10.191,9.812,7.281,NA
11,PL,5,9.481,9.172,7.066,NA
11,PL,6,11.229,10.693,7.091,NA
12,PL,1,13.962,13.087,7.211,NA
12,PL,2,10.514,10.108,7.299,NA
12,PL,3,10.602,10.177,7.242,NA
13,PL,1,10.381,9.956,7.053,NA
13,PL,2,12.034,11.417,7.25,NA
13,PL,3,10.877,10.399,7.199,NA
14,PL,1,11.558,10.976,7.117,NA
14,PL,2,10.967,10.512,7.311,NA
14,PL,3,5.121,4.614,1.288,NA
14,PL,4,10.662,10.196,7.182,NA
14,PL,5,11.176,10.664,7.285,NA
14,PL,6,11.152,10.627,7.232,NA
15,PL,1,5.402,4.862,1.286,NA
15,PL,2,3.296,2.966,0.699,NA
15,PL,3,3.023,2.727,0.748,NA
15,PL,4,10.007,9.629,7.182,NA
15,PL,5,10.678,10.209,7.151,NA
15,PL,6,11.845,11.237,7.211,NA
16,PL,1,NA,NA,NA,test not performed- nonplastic
16,PL,2,NA,NA,NA,test not performed- nonplastic
16,PL,3,NA,NA,NA,test not performed- nonplastic
17,PL,1,NA,NA,NA,test not performed- nonplastic
17,PL,2,NA,NA,NA,test not performed- nonplastic
17,PL,3,NA,NA,NA,test not performed- nonplastic
18,PL,1,NA,NA,NA,test not performed- nonplastic
18,PL,2,NA,NA,NA,test not performed- nonplastic
18,PL,3,NA,NA,NA,test not performed- nonplastic
19,PL,1,NA,NA,NA,test not performed- nonplastic
19,PL,2,NA,NA,NA,test not performed- nonplastic
19,PL,3,NA,NA,NA,test not performed- nonplastic
20,PL,1,NA,NA,NA,test not performed- nonplastic
