date,experiment_name,sample_name,replication,batch_sample_number,microns,cumulative_mass_g,comments
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,4000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,2000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,1000,0.003,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,500,0.009,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,250,0.036,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,150,0.087,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,53,0.295,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,4000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,2000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,1000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,500,0.013,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,250,0.039,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,150,0.090,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,53,0.308,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,4000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,2000,0,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,1000,0.006,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,500,0.015,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,250,0.040,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,150,0.092,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,53,0.322,-
