water_temp_c,water_absolute_viscosity_poises,water_density_kgm3,water_density_Mg_m3
0,17530577.45,1000.34038,1.00034038
0.1,17474290.64,1000.339554,1.000339554
0.2,17418268.56,1000.338628,1.000338628
0.3,17362509.64,1000.337604,1.000337604
0.4,17307012.32,1000.33648,1.00033648
0.5,17251775.05,1000.335258,1.000335258
0.6,17196796.27,1000.333936,1.000333936
0.7,17142074.45,1000.332516,1.000332516
0.8,17087608.09,1000.330996,1.000330996
0.9,17033395.66,1000.329378,1.000329378
1,16979435.66,1000.32766,1.00032766
1.1,16925726.61,1000.325844,1.000325844
1.2,16872267.02,1000.323928,1.000323928
1.3,16819055.43,1000.321913,1.000321913
1.4,16766090.39,1000.3198,1.0003198
1.5,16713370.43,1000.317587,1.000317587
1.6,16660894.13,1000.315276,1.000315276
1.7,16608660.06,1000.312865,1.000312866
1.8,16556666.79,1000.310356,1.000310356
1.9,16504912.93,1000.307748,1.000307748
2,16453397.07,1000.30504,1.00030504
2.1,16402117.83,1000.302233,1.000302233
2.2,16351073.83,1000.299328,1.000299328
2.3,16300263.69,1000.296323,1.000296323
2.4,16249686.07,1000.29322,1.00029322
2.5,16199339.6,1000.290017,1.000290017
2.6,16149222.95,1000.286716,1.000286716
2.7,16099334.8,1000.283316,1.000283316
2.8,16049673.81,1000.279816,1.000279816
2.9,16000238.67,1000.276217,1.000276217
3,15951028.08,1000.27252,1.00027252
3.1,15902040.75,1000.268724,1.000268724
3.2,15853275.39,1000.264828,1.000264828
3.3,15804730.72,1000.260834,1.000260834
3.4,15756405.48,1000.25674,1.00025674
3.5,15708298.41,1000.252547,1.000252548
3.6,15660408.24,1000.248256,1.000248256
3.7,15612733.76,1000.243865,1.000243865
3.8,15565273.71,1000.239376,1.000239376
3.9,15518026.87,1000.234787,1.000234788
4,15470992.04,1000.2301,1.0002301
4.1,15424167.99,1000.225313,1.000225313
4.2,15377553.53,1000.220428,1.000220428
4.3,15331147.47,1000.215443,1.000215444
4.4,15284948.62,1000.21036,1.00021036
4.5,15238955.81,1000.205177,1.000205177
4.6,15193167.87,1000.199896,1.000199896
4.7,15147583.64,1000.194515,1.000194515
4.8,15102201.97,1000.189036,1.000189036
