protocol_ID,coarse_diameters_sampled_details
1,4000-2000-1000-500-250-150-53
2,4000-2000-1000-500-250-150-53
3,4000-2000-1000-500-250-150-53
4,4000-2000-1000-500-250-150-53
5,4000-2000-1000-500-250-150-53
6,4000-2000-1000-500-250-150-53
7,4000-2000-53
8,4000-2000-53
9,4000-2000-53
10,4000-2000-53
11,6350-4750-4000-3360-2000-1000-500-250-150-53
12,4000-2000-1000-500-250-150-53
13,4000-2000-1000-500-250-150-53
14,4000-2000-53
15,4000-2000-1000-500-250-150-53
16,4000-2000-1000-500-250-150-53
17,4000-2000-1000-500-250-150-53
18,4000-2000-1000-500-250-150-53
19,4000-2000-1000-500-250-150-53
20,4000-2000-1000-500-250-150-53
21,4000-2000-1000-500-250-150-53
22,4000-2000-53
23,4000-2000-1000-500-250-150-53
