protocol_ID,reference
7,ASTM F-1632-03 (Reapproved 2018) - Standard Test Method for Particle Size Analysis and Sand Shape Grading of Golf Course Putting Green and Sports Field Rootzone Mixes
7,protocol 7 url
3,protocol 3 url
3,"Gee, G.W. and D. Or, 2002. 'Particle‐size analysis.' in: Methods of soil analysis: Part 4 physical methods. p. 255-293."
3,"Thurman, Nelson C. Ciolkosz, Edward Dobos, Robert R., 1994. Penn State Soil Characterization Lab Methods Manual."
3,"Robinson, 1922. A new method for the mechanical analysis of soils and other dispersions. The Journal of Agricultural Science. 12:03, p. 306-321."
1,protocol 1 url
2,protocol 2 url
4,protocol 4 url
5,protocol 5 url
6,protocol 6 url
8,protocol 8 url
9,protocol 9 url
10,protocol 10 url
11,protocol 11 url
17,"Edwards and Bremner. 1967. Dispersion of soil particles by sonic vibration. Soil Science. 18:1, p. 47-63."
