date,experiment_name,protocol_ID,sample_name,replication,batch_sample_number,microns,cumulative_mass_g,comments
2022-04-18,expt,23,A,1,1,4000,,-
2022-04-18,expt,23,A,1,1,2000,,-
2022-04-18,expt,23,A,1,1,1000,,-
2022-04-18,expt,23,A,1,1,500,,-
2022-04-18,expt,23,A,1,1,250,,-
2022-04-18,expt,23,A,1,1,150,,-
2022-04-18,expt,23,A,1,1,53,,-
2022-04-18,expt,23,B,1,2,4000,,-
2022-04-18,expt,23,B,1,2,2000,,-
2022-04-18,expt,23,B,1,2,1000,,-
2022-04-18,expt,23,B,1,2,500,,-
2022-04-18,expt,23,B,1,2,250,,-
2022-04-18,expt,23,B,1,2,150,,-
2022-04-18,expt,23,B,1,2,53,,-
2022-04-18,expt,23,C,1,3,4000,,-
2022-04-18,expt,23,C,1,3,2000,,-
2022-04-18,expt,23,C,1,3,1000,,-
2022-04-18,expt,23,C,1,3,500,,-
2022-04-18,expt,23,C,1,3,250,,-
2022-04-18,expt,23,C,1,3,150,,-
2022-04-18,expt,23,C,1,3,53,,-
